title,genre,plot
Blacksmith Scene,Short,"A stationary camera looks at a large anvil with a blacksmith behind it and one on either side. The smith in the middle draws a heated metal rod from the fire, places it on the anvil, and all three begin a rhythmic hammering. After several blows, the metal goes back in the fire. One smith pulls out a bottle of beer, and they each take a swig. Then, out comes the glowing metal and the hammering resumes."
Corbett and Courtney Before the Kinetograph,"Short, Sport","James J. Corbett and Peter Courtney meet in a boxing exhibition, with special conditions that will allow the Thomas Edison Company to film the match and show it on their Kinetograph. The match consists of six one-minute rounds. The popular James J. Corbett had earlier defeated the great John L. Sullivan and must be considered a heavy favourite. But, at least for a while, Peter Courtney seems to be holding his own."
The Sprinkler Sprinkled,"Comedy, Short","A gardener is watering his flowers, when a mischievous boy sneaks up behind his back, and puts a foot on the water hose. The gardener is surprised, and looks into the nozzle to find out why..."
Blacksmith Scene,Short,"A stationary camera looks at a large anvil with a blacksmith behind it and one on either side. The smith in the middle draws a heated metal rod from the fire, places it on the anvil, and all three begin a rhythmic hammering. After several blows, the metal goes back in the fire. One smith pulls out a bottle of beer, and they each take a swig. Then, out comes the glowing metal and the hammering resumes."
The Sea,"Comedy, Drama","Wealthy, aging patriarch Thordur assembles his scattered heirs to discuss the future of the family fishery. But bringing everyone together unleashes a storm of long-repressed sexual abuse, lingering suspicions, sibling rivalries and incestuous passions. Ultimately, it's a heartless battle between the past and the future that culminates in a night of explosive rage."
Demolition of a Wall,Short,"Made entirely from the Lumiere's 1896 film Demolition of a Wall, Brand's 1973 version takes six frames from the falling wall and shows them in all 720 possible orders. With a piano track that follows a similar pattern, the film celebrates cinema's origins by systematically iterating the many paths it has yet to explore."
The Conjuring of a Woman at the House of Robert Houdin,"Short, Horror","An elegantly dressed man enters through a stage door onto a set with decorated back screen, a chair and small table. He brings a well-dressed women through the door, spreads a newspaper on the floor, and places the chair on it. She sits and fans herself; he covers her with a diaphanous cloth. She disappears; he tries to conjure her back with incomplete results. Can he go beyond the bare bones of a conjuring trick and succeed in the complete reconstitution of a the lady?"
The House of the Devil,Horror,"In 1983, financially struggling college student Samantha Hughes takes a strange babysitting job that coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret, putting her life in mortal danger."
The Haunted Castle,"Crime, Drama, Horror, Mystery","In the castle Vogeloed, a few aristocrats are awaiting baroness Safferstätt. But first count Oetsch invites himself.. Everyone thinks he murdered his brother, baroness Safferstat's first husband, three years ago. So he is rather undesirable. But Oetsch stays; arguing he is not the murderer and will find the real one..."
The Bewitched Inn,"Short, Comedy","A weary traveler stops at an inn along the way to get a good night's sleep, but his rest is interrupted by odd happenings when he gets to his room--beds vanishing and re-appearing, candles exploding, pants flying through the air and his shoes walking away by themselves."
Cinderella,"Drama, Family, Fantasy, Romance","A girl named Ella (Cinderella) has the purest heart living in a cruel world filled with evil stepsisters and an evil stepmother out to ruin Ella's life. Ella comes one with her pure heart when she meets the prince and dances her way to a better life with glass shoes, and a little help from her fairy godmother, of course."
A Kiss in the Tunnel,"Short, Comedy, Romance","A train moves down the track. In a car, seated next to each other in a companionable way, is a couple who are reading, probably wife and husband. As the train enters a tunnel, the man abandons his reading, turns to the woman, and kisses her; she is somewhat reluctant. As the train leaves the tunnel, they return to their books."
